# schema_version=1
# release=0.1.0
# platform=macOS-arm64
# homebrew_platform=arm64_tahoe
# homebrew_core_commit=4bbf4913366f70fe64c5eb1a0eef72b86fc17bdd
# generated_from=dist/macos/Chess.app
# The bottle SHA identifies the Homebrew binary used before install-name rewriting and signing.
# Cairo is the exception: it is built by scripts/build-macos-cairo-no-lzo.sh from verified source.
component	package_version	upstream_version	build_origin	bundled_dylibs	distributed_license	source_url	source_sha256	bottle_sha256	formula_path	formula_sha256	scope_note
libx11	1.8.13	1.8.13	homebrew-bottle	libX11.6.dylib	MIT	https://xorg.freedesktop.org/archive/individual/lib/libX11-1.8.13.tar.gz	acf0e7cd7541110e6330ecb539441a2d53061f386ec7be6906dfde0de2598470	cddc8c50c6140f0f64724e4f7c508fe7d26676b24cf7ae2b2527bf884a07a5ea	Formula/lib/libx11.rb	e5dabf337899d8115a6fe73d8dc25c5a67942569c80bd46e546dba0dd76fb4d6	Dynamic library
libxau	1.0.12	1.0.12	homebrew-bottle	libXau.6.dylib	MIT	https://xorg.freedesktop.org/archive/individual/lib/libXau-1.0.12.tar.xz	74d0e4dfa3d39ad8939e99bda37f5967aba528211076828464d2777d477fc0fb	503040606c5d29dd415f2c8dcba7e181d259e4cdff02d1d8bde4e9ea5244765a	Formula/lib/libxau.rb	67156ac2676d2b7e9f322ddcaa4e1cdcd13fcce36cbd5b95a59f7df7af243cce	Dynamic library
libxcb	1.17.0	1.17.0	homebrew-bottle	libxcb.1.dylib,libxcb-render.0.dylib,libxcb-shm.0.dylib	MIT	https://xorg.freedesktop.org/archive/individual/lib/libxcb-1.17.0.tar.xz	599ebf9996710fea71622e6e184f3a8ad5b43d0e5fa8c4e407123c88a59a6d55	059edd054b17234abb0ce8a34dcbbd927e104445d09a3f5904ea82f7c5aa7ded	Formula/lib/libxcb.rb	6faf4e15fedb11c673b1796a0d1af804b0d9489cc15757f82f523bdeb35800ff	Dynamic libraries
libxdmcp	1.1.5	1.1.5	homebrew-bottle	libXdmcp.6.dylib	MIT	https://xorg.freedesktop.org/archive/individual/lib/libXdmcp-1.1.5.tar.xz	d8a5222828c3adab70adf69a5583f1d32eb5ece04304f7f8392b6a353aa2228c	34ca0da1c319eeea93ce31badfb5c29c8876cea644754279e93f6cf032ab5cb1	Formula/lib/libxdmcp.rb	e1f8dee584114676ae45f3e0342ab28afa2da1b234794821a9f80d0e24be1423	Dynamic library
libxext	1.3.7	1.3.7	homebrew-bottle	libXext.6.dylib	MIT	https://xorg.freedesktop.org/archive/individual/lib/libXext-1.3.7.tar.gz	6564608dc3b816b0cfddf0c7ddc62bc579055dd70b2f28113a618df2acb64189	7cf2c8903d82f28e0e854c8d6d3dff46ea98c5512724e5349af40f1edca88e9c	Formula/lib/libxext.rb	a40b54cc7d99c94982438872043d95ef3b13da2c51d4f33b97dc2810f1906764	Dynamic library
libxrender	0.9.12	0.9.12	homebrew-bottle	libXrender.1.dylib	MIT	https://xorg.freedesktop.org/archive/individual/lib/libXrender-0.9.12.tar.gz	0fff64125819c02d1102b6236f3d7d861a07b5216d8eea336c3811d31494ecf7	6405639931b8924b009e16163b7d99f50a10274189cb7f7eba12a4585d1ef255	Formula/lib/libxrender.rb	473b79d1d0f380127cd5d87cf4f58ad4e47c4f2cb3170c996756401300bae996	Dynamic library
pango	1.58.0	1.58.0	homebrew-bottle	libpango-1.0.0.dylib,libpangocairo-1.0.0.dylib,libpangoft2-1.0.0.dylib	LGPL-2.0-or-later	https://download.gnome.org/sources/pango/1.58/pango-1.58.0.tar.xz	bc5bad6213ad4886a47d1e80292fd850b64159b50db67917a43d9ea80ee2298a	a522f4aa3ed2f9b3774b9bbb11247de251b3cf730ca774d8cb2b7772df49b81b	Formula/p/pango.rb	9878558f09fdcaddeadf60bf4d7f5e908c11a81032a977bb87a1c0f65312a0a9	Dynamic libraries
pangomm	2.56.2	2.56.2	homebrew-bottle	libpangomm-2.48.1.dylib	LGPL-2.1-only	https://download.gnome.org/sources/pangomm/2.56/pangomm-2.56.2.tar.xz	f1e984c85a85b6a0e61616366521f51dd8282a072bb45d15b5084762b62f4c0e	c50be3b577c1dd5329b742b97c51182af99225e4af2c7e9ae7a30c27f3f9e4f3	Formula/p/pangomm.rb	47f9be66442ec82826677629cd43cfe311056e6802117d5011af303ee21fca87	Dynamic library
pcre2	10.47_1	10.47	homebrew-bottle	libpcre2-8.0.dylib	BSD-3-Clause	https://github.com/PCRE2Project/pcre2/releases/download/pcre2-10.47/pcre2-10.47.tar.bz2	47fe8c99461250d42f89e6e8fdaeba9da057855d06eb7fc08d9ca03fd08d7bc7	948b00bdaf75a842341f08a949ca3d414ae5333df2c305a7e371be31a2c30963	Formula/p/pcre2.rb	36090011da1e4b86f55a62ee73bb2d91b3b339bb73ecd49b68b38c0772b385b8	Homebrew formula revision 1
pixman	0.46.4	0.46.4	homebrew-bottle	libpixman-1.0.dylib	MIT	https://cairographics.org/releases/pixman-0.46.4.tar.gz	d09c44ebc3bd5bee7021c79f922fe8fb2fb57f7320f55e97ff9914d2346a591c	2b011051909d7f9ad432a76d32c0490f796ad545f7acbd6445356024f0c712e5	Formula/p/pixman.rb	e396366b86e777fbbbcaea23359d4c030992d8d81ce0a3f2bcaf16422db0304f	Dynamic library
webp	1.6.0	1.6.0	homebrew-bottle	libwebp.7.dylib,libsharpyuv.0.dylib	BSD-3-Clause	https://storage.googleapis.com/downloads.webmproject.org/releases/webp/libwebp-1.6.0.tar.gz	e4ab7009bf0629fd11982d4c2aa83964cf244cffba7347ecd39019a9e38c4564	11a19ac5db13a8485d4d6f712d65d48531f99e8d7237407ab42718777eefacb3	Formula/w/webp.rb	80bb5374f9df8cb880529eaaa02aa05e6a7c6cc5e2cf0272da9b8451a03c4052	Dynamic libraries; BSD path selected
xz	5.8.3	5.8.3	homebrew-bottle	liblzma.5.dylib	0BSD	https://github.com/tukaani-project/xz/releases/download/v5.8.3/xz-5.8.3.tar.gz	3d3a1b973af218114f4f889bbaa2f4c037deaae0c8e815eec381c3d546b974a0	55c891f5d47142fe923c87df0e3343d7ef2bc7d368c67892b4ad2c80e53069d5	Formula/x/xz.rb	4695e50a53c739d3dc09d219d290cf19dbd04f15a14d38410f49564996feab26	Only liblzma is bundled; GPL tools from the source package are not bundled
zstd	1.5.7_1	1.5.7	homebrew-bottle	libzstd.1.dylib	BSD-3-Clause	https://github.com/facebook/zstd/archive/refs/tags/v1.5.7.tar.gz	37d7284556b20954e56e1ca85b80226768902e2edabd3b649e9e72c0c9012ee3	628a4ef53428d0078e3d76d297171ce8d0294f5ec1de3f20305e08c4dd333565	Formula/z/zstd.rb	93047c68a5e0f08235821b5a0276b72ea8f25509dcc804b3d59f18a4f2c08298	Homebrew formula revision 1; BSD library path selected
